CITY	COUNT
BIRMINGHAM	2196
MONTGOMERY	1434
HUNTSVILLE	889
FLORENCE	469
MOBILE	438
TUSCALOOSA	384
ANNISTON	366
DOTHAN	172
Birmingham	144
NORTHPORT	113
ENTERPRISE	111
DECATUR	101
Huntsville	87
MOUNTAIN BRK	87
AUBURN	83
ATHENS	82
SHEFFIELD	69
Montgomery	68
OPELIKA	66
RAMER	64
MUSCLE SHOALS	54
MADISON	48
GADSDEN	47
JACKSONVILLE	47
CULLMAN	45
FAIRHOPE	44
BOAZ	44
VESTAVIA	40
HOOVER	37
MOUNTAIN BROOK	37
VESTAVIA HILLS	37
HALEYVILLE	37
TALLADEGA	36
JASPER	35
Florence	35
OZARK	34
DAPHNE	34
VINEMONT	34
BROWNSBORO	34
Mobile	32
NEW MARKET	32
REMLAP	32
PELL CITY	31
SELMA	31
UNION SPRINGS	31
KILLEN	31
SYLACAUGA	30
Anniston	29
PELHAM	29
TRUSSVILLE	28
GUNTERSVILLE	28
HANCEVILLE	26
OHATCHEE	26
TROY	24
BESSEMER	24
PRATTVILLE	22
Tuscaloosa	22
POINT CLEAR	21
Enterprise	20
BHAM	20
ANDALUSIA	20
CHELSEA	19
BRUNDIDGE	19
INDIAN SPRINGS	19
B'HAM	17
TALLASSEE	17
MOUNT VERNON	16
SPANISH FORT	16
COLUMBIANA	16
SOUTHSIDE	16
HARVEST	15
ALEXANDER CITY	15
ALBERTVILLE	15
ONEONTA	15
HELENA	14
HOMEWOOD	14
HAMILTON	13
PHENIX CITY	13
RAINSVILLE	13
WETUMPKA	12
FAYETTE	12
ATMORE	12
Killen	12
BREWTON	11
OXFORD	11
TUSCUMBIA	10
LANETT	10
Ohatchee	10
GARDENDALE	10
RUSSELLVILLE	10
GROVE HILL	10
ARLEY	10
Opelika	9
WEDOWEE	9
CENTREVILLE	9
Guntersville	9
COTTONDALE	9
NEW BROCKTON	9
HAMPTON COVE	9
MARION	9
Ramer	8
RAINBOW CITY	8
OWENS CROSS ROADS	8
JACKSON	8
SHOAL CREEK	8
Dothan	8
Sheffield	7
EUFAULA	7
THEODORE	7
WESTOVER	7
ASHLAND	7
Talladega	7
GILBERTOWN	7
CITRONELLE	7
SHORTER	7
CHANCELLOR	7
Decatur	7
HAYDEN	6
WINFIELD	6
LINEVILLE	6
FORT PAYNE	6
CAMDEN	6
ARAB	6
SPRINGVILLE	6
CROPWELL	6
HEADLAND	6
PINSON	6
MOODY	6
EVERGREEN	6
Jacksonville	6
HARTSELLE	6
Muscle Shoals	5
Vinemont	5
UNION GROVE	5
ATHERTON	5
GRANT	5
GORDON	5
GENEVA	5
MONTEVALLO	5
VESTAVIA HLS	5
ALABASTER	5
ECLECTIC	5
WEAVER	5
MOULTON	5
SAMSON	4
MILLBROOK	4
STERRETT	4
NEWTON	4
Boaz	4
MC SHAN	4
Daphne	4
MOUNDVILLE	4
NORTH PORT	4
LACEYS SPRING	4
GULF SHORES	4
Mount Vernon	4
SARALAND	4
TITUS	4
GREENVILLE	4
GREENSBORO	4
Forest Home	4
ORANGE BEACH	4
FULTONDALE	4
OPP	4
Wetumpka	4
ROANOKE	4
LISMAN	4
MEADOWBROOK	4
HUEYTOWN	4
Oxford	4
FOLEY	4
MERIDIANVILLE	3
ASHVILLE	3
LOXLEY	3
HEFLIN	3
Hartselle	3
TUSKEGEE	3
INVERNESS	3
Fairhope	3
STEELE	3
ELBERTA	3
ELKMONT	3
SUNNYVALE	3
VALLEY GRANDE	3
DECATOR	3
PIKE ROAD	3
ROGERSVILLE	3
CENTRE	3
FYFFE	3
Brundidge	3
RANGE	3
Auburn	3
Union Springs	3
CLANTON	3
ODENVILLE	3
OAK HILL	3
SOMERVILLE	3
SCOTTSBORO	3
GURLEY	3
BAYOU LA BATRE	3
SALEM	2
REFORM	2
MONROEVILLE	2
RIVERSIDE	2
MAPLESVILLE	2
ROBERTSDALE	2
SEALE	2
MCCALLA	2
Rainsville	2
VALLEY HEAD	2
MAGNOLIA	2
WILMER	2
MORRIS	2
Shoal Creek	2
Sunnyvale	2
Sylacauga	2
THOMASVILLE	2
WAINWRIGHT	2
MT. BROOK	2
THORSBY	2
MT. VERNON	2
TONEY	2
Northport	2
NEWVILLE	2
PLEASANT GROVE	2
YOG	2
BERMINGHAM	2
BUTLER	2
HENAGAR	2
Greenville	2
BAY MINETTE	2
BERKELEY	2
GORDO	2
GADSEN	2
Fultondale	2
FT PAYNE	2
FORKLAND	2
FOREST HOME	2
BYNUM	2
ANNESTON	2
ETHELSVILLE	2
Brewton	2
EIGHT MILE	2
EAST TALLASSEE	2
CHICKASAW	2
CLAY	2
CLAYTON	2
DILLINGHAM	2
DADEVILLE	2
Cottondale	2
HULL	2
Camden	2
HUNYSVILLE	2
ALABAMA	2
ALTOONA	2
ANCHORAGE	2
LANETTE	2
INDIAN SPGS.	2
Hoover	2
Hayden	2
LOUISVILLE	2
JACKSON'S GAP	2
Haleyville	2
SHANNON	1
ALEXANDER CI	1
BRIMINGHAM	1
BRYANT	1
WENDEN	1
BUNDIDGE	1
WEST MOBILE	1
Selma	1
Salem	1
CUSSETA	1
Winfield	1
ADAMSVILLE	1
Bham	1
ALICEVILLE	1
SCOTT CITY	1
Weaver	1
Brownsboro	1
CALERA	1
CARROLLTON	1
BREMEN	1
CHEROKEE	1
SNEAD	1
CULLMA	1
CORDOVA	1
COFFEE SPRINGS	1
WILSONVILLE	1
ADFALUSIA	1
WOODVILLE	1
CHATCHEE	1
BLIM	1
BOAR	1
TALLEDEGA	1
ANNLSTON	1
ANOALUSIA	1
ASHFORD	1
VESTAVIA HILL	1
ATHEN	1
VENICE	1
Alabaster	1
Annandale	1
VALLEY	1
Arley	1
ANNANDALE	1
Ashford	1
BADSDEN	1
Tuskegee Institute	1
Tuskegee	1
WARRIOR	1
BELLEVUE	1
TUSKEGEE INSTITUTE	1
Citronelle	1
BEWRTON	1
BIRINGHAM	1
BIRMAINHAM	1
TOWN CREEK	1
BIRMINGHA	1
BIRMINGTON	1
BIRMINHAM	1
BIRMINSHAM	1
WELLESLEY	1
VINTON	1
MALCOLM	1
RED BAY	1
SAKS	1
MTN BROOK	1
Marion	1
Maylene	1
Millbrook	1
Mongtomery	1
Montevallo	1
HORTON	1
Montrose	1
HOPE HULL	1
HOLLY POND	1
HAZEL GREEN	1
HARDAWAY	1
HALEYS	1
NORTHPOINT	1
Gadsden	1
NOTASULGA	1
HUNSTVILLE	1
HUNTSVILE	1
GULD SHORES	1
Hanceville	1
Laneit	1
MATHEWS	1
MC CALLA	1
Lafayette	1
LUVERNE	1
MCSHAN	1
LOWNDESBORO	1
METAIRIE	1
LEEDS	1
LACEYS SPRINGS	1
Jackson	1
MONTOMGERY	1
IRVINGTON	1
ABBEVILLE	1
MOUNT OLIVE	1
New Market	1
GUIN	1
SAFFORD	1
Evergreen	1
PRATTMONT	1
ENTEPRISE	1
PRESCOTT	1
PT CLEAR	1
Pelham	1
QUINTON	1
ELBA	1
DOUBLE SPRINGS	1
MABILE	1
DORA	1
DEMOPOLIS	1
DELL CITY	1
DEATSVILLE	1
DARHNE	1
DALEVILLE	1
Eufaula	1
FALKVILLE	1
OAKMAN	1
FELL CITY	1
GLENNALLEN	1
GLENCOE	1
